ERROR 2019-01-23 09:33:31,030 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:32,751 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:33,877 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:33,879 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:33,879 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:35,154 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:35,154 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:36,551 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:37,178 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:37,180 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:37,766 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:37,766 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:40,696 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:41,428 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:41,428 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:46,178 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:46,185 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:49,087 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:49,087 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:49,088 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:49,088 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:51,937 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:51,937 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:51,937 Conversion of price in float failed with error: could not convert string to float: 
ERROR 2019-01-23 09:33:51,937 Conversion of price in float failed with error: could not convert string to float: 
