UBS,DOJ Public Affairs
AGCO Corp. ,"DOJ Criminal Division (Fraud),SEC,Danish State prosecutor"
Sirchie Acquisition Co. LLC,DOJ Criminal Division (Fraud)
Beazer Homes USA Inc.,DOJ Civil Division
Columbia Farms Inc.,"DOJ Criminal Division (Fraud),DHS,ICE"
Crédit Suisse,
Daimler AG,DOJ Criminal Division (Fraud)
Panalpina World Transport LTD,"DOJ Criminal Division (Fraud),District of Texas"
RBS VN (ABN AMRO),"DOJ Criminal Division (Fraud),District of Columbia "
Technip SA,DOJ Criminal Division (Fraud)
Tidewater Marine International,DOJ Criminal Division (Fraud)
Transocean,DOJ Criminal Division (Fraud)
Wachovia,DOJ Criminal Division (Fraud)
Wright Medical Technology Inc.,DOJ Criminal Division (Fraud)
Alcatel Lucent SA,DOJ Criminal Division (Fraud)
Snamprogetti Netherlands VB.V.,DOJ Criminal Division (Fraud)
Kos Pharmaceuticals,DOJ Civil Division
Barclays Bank PLC,"DOJ Criminal Division (Fraud),DANY"
Shoppers Food Warehouse Corp.,DOJ Criminal Division (Fraud)
ABB Ltd,DOJ Criminal Division (Fraud)
Pride International,DOJ Criminal Division (Fraud)
Shell Nigeria Exploration and Production Company Ltd.,DOJ Criminal Division (Fraud)
Louis Berger Group,DOJ Criminal Division (Fraud)
Exactech,DOJ Criminal Division (Fraud)
Alcatel  Lucent,DOJ Fraud
Baystar Capital Managment,Northern District of California
Maxim Healthcare Services,District of New Jersey 
Standard Chartered Bank,"DOJ Fraud,OFAC,FED"
HSBC Holdings Plc and HSBC USA,DOJ Public Affairs
BNP Parisbas ,DANY
BNP Paribas,DOJ Money  Laundering
Aargauische Kantonalbank,DOJ Tax
ARVEST Privatbank AG,DOJ Tax
Banca Credinvest SA,DOJ Tax
Banca dello Stato del Cantone Ticino,DOJ Tax
"Banca Intermobiliare di Investimenti e
  Gestioni (Suisse) SA",DOJ Tax
Bank CIC,DOJ Tax
Bank Coop AG,DOJ Tax
Bank EKI Genossenschaft,DOJ Tax
Bank J. Safra Sarasin AG,DOJ Tax
Bank La Roche & Co AG,DOJ Tax
Bank Linth LLB AG,DOJ Tax
Bank Lombard Odier & Co Ltd,DOJ Tax
