 Banque Pasche SA,Tax-Related
Aargauische Kantonalbank,Tax-Related
"Aegerion
  Pharmaceuticals copy","HIPAA,FDCA,FCA"
AFFAIRE HSBC PRIVATE BANK (SUISSE) SA,Bribery / Corruption
AFFAIRE SAS KAEFFER WANNER,Bribery / Corruption
AFFAIRE SAS POUJAUD,Bribery / Corruption
AFFAIRE SAS SET ENVIRONNEMENT,Bribery / Corruption
"Akamai
  Technologies, Inc. ",FCPA / Corruption  
Alcatel  Lucent,FCPA / Corruption  
ARVEST Privatbank AG,Tax-Related
"Banamex
  USA (Citigroup)","Bank Secrecy Act (BSA) / Secret bancaire ,AML"
Banca Credinvest SA,Tax-Related
Banca dello Stato del Cantone Ticino,Tax-Related
"Banca Intermobiliare di Investimenti e
  Gestioni (Suisse) SA",Tax-Related
"Bank
  Lombard Odier & Co Ltd.",Swiss Bank Program
Bank  Lombard Odier & Co Ltd.,Tax-Related
Bank CIC,Tax-Related
Bank Coop AG,Tax-Related
Bank EKI Genossenschaft,Tax-Related
Bank J. Safra Sarasin AG,Tax-Related
Bank La Roche & Co AG,Tax-Related
Bank Linth LLB AG,Tax-Related
Bank Lombard Odier & Co Ltd,Tax-Related
Bank Sparhafen Zurich AG,Tax-Related
Bank Zweiplus Ag,Tax-Related
Banque Bonhôte & Cie SA,Tax-Related
Banque Cantonal du Valais,Tax-Related
Banque Cantonale du Jura SA,Tax-Related
Banque Cantonale Neuchâteloise,Tax-Related
Banque Cantonale Vaudoise,Tax-Related
Banque Heritage S.A.,Tax-Related
Banque Internationale à Luxembourg SA,Tax-Related
"Basler
  Kantonalbank","Tax Evasion,Fraud (Tax)"
"Baumann & Cie, Banquiers",Tax-Related
"Baxter
  Healthcare",FDCA
Baystar Capital Managment,Fraud (Wire Fraud)
BBVA Suiza S.A.,Tax-Related
Berner Kantonalbank AG,Tax-Related
BHF-Bank (Schweiz) AG,Tax-Related
"BK
  Medical ApS",FCPA / Corruption  
BNP Paribas,money laundering
BNP Paribas (Suisse) SA,Tax-Related
BNP Parisbas ,IEE
Bordier & Cie Switzerland,Tax-Related
"Breakthru
  Beverage Pennsylvania",Bribery / Corruption
BSI SA,Tax-Related
"Central
  States Capital Markets, LLC","Bank Secrecy Act (BSA) / Secret bancaire ,AML"
CommerceWest Bank,Fraud (Tax)
Commerzbank A.G,"IEEPA,Bank Secrecy Act (BSA) / Secret bancaire ,AML,IEE"
Cornèr Banca SA,Tax-Related
"Corning
  Incorporated",Antitrust
Coutts & Co Ltd,Tax-Related
"Credit
  Suisse (Hong Kong) Limited",FCPA / Corruption  
Crédit Agricole (Suisse) SA,Tax-Related
Crédit Agricole Corporate and Investment Bank,"IEE,IEEPA,TWEA"
"Credito Privato Commerciale in
  liquidazione SA",Tax-Related
"Cultural
  Resource Analysts, Inc.",Archaeological Resources Protection Act
Curvature LLC,Fraud
"DAXC,
  LLC",Theft of Government Property
"Dennis
  Corporation",Conspiracy to impede the IRS
Deutsche Bank,misconduct
Deutsche Bank (Suisse) SA,Tax-Related
"Dreyfus Sons & Co Ltd, Banquiers",Tax-Related
DZ Privatbank (Schweiz) AG  ,Tax-Related
"E. Gutzwiller & Cie, Banquiers",Tax-Related
"Edmond de Rothschild (Suisse) SA and
  Edmond de Rothschild (Lugano) SA",Tax-Related
"EFG Bank European Financial Group SA,
  Geneva, and EFG Bank AG",Tax-Related
Ersparniskasse Schaffhausen AG,Tax-Related
Falcon Private Bank AG,Tax-Related
Finter Bank Zurich,Tax-Related
Gonet & Cie,Tax-Related
Graubündner Kantonalbank,Tax-Related
Habib Bank AG Zurich (HBZ),Tax-Related
"Hallman
  Chevrolet",Fraud (Bank Loan)
"Health
  Management Associates, LLC","Fraud (Health Care),FCA"
"HSBC
  Holdings plc",Fraud (Wire Fraud)
HSBC Holdings Plc and HSBC USA,"money laundering,IEE"
"HSZH
  Verwaltungs AG","Tax-Related,Monetary Transactions Offenses"
HSZH Verwaltungs AG,Tax-Related
